DAD9846B|Export FBX Settings
8EC5A437|FBX binary save
569C495A|Include models
B418D2A2|Include textures
8BA15127|Include animations
CE0FB7E1|OK
76594D8C|Cancel
9DA2BD0|3D Scene generate settings
A1316626|Asset objects save to /TempAssets/
F47D5E56|License for 'GameRecovery' not activated!
C5EF7EC5|Set all gameobjects as active
7440FD22|Allow RigingBody
8EFCE06|Allow Audio
636455D3|Show animation preview (available only in UnityEditor version)
36707B8D|Show video clips
4D1C3635|Show Particles
ED4EE62E|Add additional light
1707F26E|Show scene elements on make
89627899|Asynk make scene
13DCA69B|Proxy settings
8ADD8276|Use proxy connection
3F93BF04|Server:
158D900|Port:
CA2DF85D|Use Proxy Authentication
A19445D0|User name:
D086BA55|Password:
800542D8|Import settings
3E64DDA1|Asset settings
12F151A6|Bundle auto extract
A199C855|Import bundle as Level
D8F87912|Saving RAM (export slower)
8AB7DCC5|Cache time in seconds:
F7D7718C|Fast open
A29EBB83|Additional Log
D356CEEF|Normal map auto convert
B479DB39|Mesh normals recalculate for view
B5ED1B5F|Allow restore shader as UnityLab format (for GameRecovery license type)
10630F7|Only available for DevX GameRecovery license type.
A10E5601|Ignore scenes
55EFDF96|Ignore StreamingAssets directory
E7C89762|When you enable async options, it will be faster, but errors are possible!
2112BD71|Async parse of Bundle
4ED032E0|Async parse of Assets
B4FA0730|Async make of Assets
107F8FC8|Disable swap buffers to file stream (for fasted)
B20B92C9|IL2CPP Script settings
4EDDA686|IL2CPP Restore Scripts Structured
DB9E7D17|IL2CPP to decompile into ARM ASM && C# (experemental, slow)
6D77C25E|Restore only fields (for deserialization and minimize scripts errors)
C4BFB9F4|.NET assembly script decompilation
5DBA5417|Allow to de-obfuscate assembly
120E3FB8|Disable decompilation
4EFC5297|DecompillerFi
8E61889B|dnSpy Decompiller
8630CF6E|Standart Decompiller
945252BE|Simple Code Decompiller
50FA4B8E|Custom extern decompiller
F7B28663|Custom extern decompiller, path to executable file:
B03E8947|parameters on run: "assembly_name.dll" -p -o "output_dir"
6D8B26B7|Temp directory
E8CCC172|Open
481459F7|With generate project
2A463756|With export resources
AC7A600E|Allow delayed extraction of scripts
149E85E|Assemblies (for decompilation to .cs scripts)
917298B4|Disable header information for scripts (header on .cs files)
2A11D566|Scene params
E3E1083F|Make direct MeshAsset (else Mesh by .obj file)
33C19C13|Make all GameObjects as Active (override)
6DBC0660|Allow restore shaders (base mode, without convert to ShaderLab format)
61A5FC0F|Allow async export
A44EA654|Export multi sprite texture as separate sprite files
552C00E0|Disable append bundle path to asset
8391C557|Unity Project Version
C3F188C3|Script generate settings
BCF283D5|- As source code (.cs)
1EC75768|- As plugin (.dll)
D65F8F6B|- Exclude
E54C2A1D|Unity 5.6
5E77CD61|Unity 2017.3
D312CD61|Unity 2017.2
5E74CD61|Unity 2018.3
47ABCD61|Unity 2019.1
7005F23B|APKSigner Dialog
23F99CC3|With signature (apk without signature - can not be installed on the device)
7C411C18|APKSigner Dialog - required JDK
18D1C1FD|Paths
3EAED1C5|keytool path:
70B85F11|jarsigner path:
2084ED5F|zipalign path:
3D76F7AC|Auto find tools
311144D4|Keystore
276F9AC4|Create temp key
C52368B|Select custom key
FE68A80|Keystore file:
C01D298D|Store password:
B25E2AD4|Key alias:
AE8DCA9A|Key password:
9866B14B|NDName:
7348C09D|keytool_path - not exist
6989E77C|jarsigner_path - not exist
